tanggal,ADM2_NAME,mean
2018-01-04,Kota Blitar,8.817944113971198
2018-01-04,Kota Kediri,9.119989032360591
2018-01-04,Kota Madiun,11.802297333539542
2018-01-04,Kota Malang,7.141091770135662
2018-01-04,Kota Mojokerto,6.57471155888826
2018-01-04,Kota Pasuruan,0.0
2018-01-04,Kota Probolinggo,0.0
2018-01-04,Kota Surabaya,6.047003272580657
2018-01-04,Lamongan,7.655744101453222
2018-01-04,Lumajang,3.1665521940654884
2018-01-04,Madiun,11.489312329081178
2018-01-04,Magetan,13.466153031412414
2018-01-04,Mojokerto,6.229373478745343
2018-01-04,Nganjuk,9.971201433949567
2018-01-04,Ngawi,12.283081214041397
2018-01-04,Pacitan,21.47472161317102
2018-01-04,Pamekasan,3.8569384801987785
2018-01-04,Pasuruan,1.1911387430989113
2018-01-04,Ponorogo,16.943436258195845
2018-01-04,Probolinggo,0.075009992306764
2018-01-04,Sampang,2.8080369546788657
2018-01-04,Sidoarjo,5.431580648914693
2018-01-04,Situbondo,0.013693764275275784
2018-01-04,Sumenep,1.2415414694901334
2018-01-04,Trenggalek,15.917281119319707
2018-01-04,Tuban,3.7563736087840587
2018-01-04,Tulungagung,10.794635590283406
2018-01-04,Kota Jember,0.0
2018-01-05,Kota Batu,9.363781141107225
2018-01-05,Malang,10.119324099138211
2018-01-05,Bangkalan,8.083350417235359
2018-01-05,Banyuwangi,5.750572323904938
2018-01-05,Blitar,12.213300583958949
2018-01-05,Bojonegoro,12.0170987646449
2018-01-05,Bondowoso,8.962785072082855
2018-01-05,Gresik,16.161465238297477
2018-01-05,Jember,8.54542923793652
2018-01-05,Jombang,9.25745573664066
2018-01-05,Kediri,11.733035579202866
2018-01-05,Kota Blitar,13.226914896602516
2018-01-05,Kota Kediri,9.799274367626529
2018-01-05,Kota Madiun,11.802297333539542
2018-01-05,Kota Malang,10.833884921931475
2018-01-05,Kota Mojokerto,9.86206657446704
2018-01-05,Kota Pasuruan,6.2955285220008514
2018-01-05,Kota Probolinggo,6.117766902265391
2018-01-05,Kota Surabaya,15.745052563524819
2018-01-05,Lamongan,13.326286154573161
2018-01-05,Lumajang,13.051533276861226
2018-01-05,Madiun,13.023848259337672
2018-01-05,Magetan,17.723982490909805
2018-01-05,Mojokerto,8.198711463214503
2018-01-05,Nganjuk,11.329525498829149
2018-01-05,Ngawi,12.273493776580882
2018-01-05,Pacitan,14.72691533177547
2018-01-05,Pamekasan,7.418318210136063
2018-01-05,Pasuruan,5.243657619785988
2018-01-05,Ponorogo,13.48377929473156
2018-01-05,Probolinggo,9.296951448152635
2018-01-05,Sampang,5.522856326918627
2018-01-05,Sidoarjo,11.432054534581292
2018-01-05,Situbondo,3.0154262196225514
2018-01-05,Sumenep,4.43347478320201
2018-01-05,Trenggalek,12.114913887981235
2018-01-05,Tuban,13.304376606716357
2018-01-05,Tulungagung,10.409357760790416
2018-01-05,Kota Jember,8.087433737778083
2018-01-06,Kota Batu,30.197568707440553
2018-01-06,Malang,22.492673755769626
2018-01-06,Bangkalan,9.86729893699331
2018-01-06,Banyuwangi,21.116015359240333
2018-01-06,Blitar,19.109700273775825
2018-01-06,Bojonegoro,13.362282612983552
2018-01-06,Bondowoso,15.336996504614865
2018-01-06,Gresik,13.716156259976799
2018-01-06,Jember,21.327231219159742
2018-01-06,Jombang,30.0615891919356
2018-01-06,Kediri,26.484801793316063
2018-01-06,Kota Blitar,16.068476219623406
2018-01-06,Kota Kediri,28.25233950601187
2018-01-06,Kota Madiun,11.401292014256708
2018-01-06,Kota Malang,24.037898279914224
2018-01-06,Kota Mojokerto,30.920865457034807
2018-01-06,Kota Pasuruan,7.915562671000564
2018-01-06,Kota Probolinggo,14.5817468073461
2018-01-06,Kota Surabaya,14.069845345144161
2018-01-06,Lamongan,13.289991920871065
2018-01-06,Lumajang,24.47681498068613
2018-01-06,Madiun,15.143832093248399
2018-01-06,Magetan,11.62962892875228
2018-01-06,Mojokerto,24.222307326547714
2018-01-06,Nganjuk,23.494564239910876
2018-01-06,Ngawi,12.281419186212169
2018-01-06,Pacitan,10.831446328013332
2018-01-06,Pamekasan,9.955544303794868
2018-01-06,Pasuruan,15.518296694793689
2018-01-06,Ponorogo,16.553963096229552
2018-01-06,Probolinggo,23.36935348316103
2018-01-06,Sampang,8.878339457063136
2018-01-06,Sidoarjo,17.818815567974735
2018-01-06,Situbondo,5.273530080508398
2018-01-06,Sumenep,1.6898166754520436
2018-01-06,Trenggalek,14.849214503130417
2018-01-06,Tuban,7.203088194467712
2018-01-06,Tulungagung,17.735572561099364
2018-01-06,Kota Jember,14.927171710874978
2018-01-07,Kota Batu,30.216337828912838
2018-01-07,Malang,25.267144600124627
2018-01-07,Bangkalan,27.915610256769178
2018-01-07,Banyuwangi,32.80467002006623
2018-01-07,Blitar,24.65870107500423
2018-01-07,Bojonegoro,28.84030445214898
2018-01-07,Bondowoso,48.39738300143119
2018-01-07,Gresik,33.26250314981647
2018-01-07,Jember,36.96837024456779
2018-01-07,Jombang,28.09468188939018
2018-01-07,Kediri,24.703298322085672
2018-01-07,Kota Blitar,30.58552661694978
2018-01-07,Kota Kediri,20.43034918507513
2018-01-07,Kota Madiun,11.401292014256708
2018-01-07,Kota Malang,24.037898279914224
2018-01-07,Kota Mojokerto,30.920865457034807
2018-01-07,Kota Pasuruan,15.411575204744114
2018-01-07,Kota Probolinggo,15.847905143072524
2018-01-07,Kota Surabaya,32.574853188070655
2018-01-07,Lamongan,30.064418026916794
2018-01-07,Lumajang,31.807010564089612
2018-01-07,Madiun,17.058882986373536
2018-01-07,Magetan,15.43674973483291
2018-01-07,Mojokerto,27.67266915950486
2018-01-07,Nganjuk,21.119719028186942
2018-01-07,Ngawi,15.512708134878881
2018-01-07,Pacitan,18.813028397960895
2018-01-07,Pamekasan,23.259724739723165
2018-01-07,Pasuruan,23.332253282656826
2018-01-07,Ponorogo,19.63390724050345
2018-01-07,Probolinggo,31.870713831914614
2018-01-07,Sampang,24.84184931906691
2018-01-07,Sidoarjo,22.784069102116735
2018-01-07,Situbondo,37.29639226693807
2018-01-07,Sumenep,21.915920814652527
2018-01-07,Trenggalek,23.09070402984852
2018-01-07,Tuban,22.06799530675074
2018-01-07,Tulungagung,25.10664828990224
2018-01-07,Kota Jember,44.78151338902916
2018-01-08,Kota Batu,21.371488029930084
2018-01-08,Malang,9.672701255217046
2018-01-08,Bangkalan,3.2766356058817867
2018-01-08,Banyuwangi,6.156995953503217
2018-01-08,Blitar,19.846568236849507
2018-01-08,Bojonegoro,4.343211604571118
2018-01-08,Bondowoso,10.733541624869742
2018-01-08,Gresik,8.084553541761188
2018-01-08,Jember,17.101256236831556
2018-01-08,Jombang,17.71623651761839
2018-01-08,Kediri,21.088128484165928
2018-01-08,Kota Blitar,16.068476219623406
2018-01-08,Kota Kediri,21.99544107948325
2018-01-08,Kota Madiun,11.46934153939371
2018-01-08,Kota Malang,13.162851455416707
2018-01-08,Kota Mojokerto,25.70410754379717
2018-01-08,Kota Pasuruan,15.96384154342291
2018-01-08,Kota Probolinggo,11.55197623930526
2018-01-08,Kota Surabaya,9.381266576699883
2018-01-08,Lamongan,6.655935599013413
2018-01-08,Lumajang,8.088887268331833
2018-01-08,Madiun,16.177880253687903
2018-01-08,Magetan,14.626639909281439
2018-01-08,Mojokerto,19.157161928217896
2018-01-08,Nganjuk,22.057958211283996
2018-01-08,Ngawi,11.468353370704103
2018-01-08,Pacitan,14.278333104514662
2018-01-08,Pamekasan,4.210258111768071
2018-01-08,Pasuruan,17.46120909499156
2018-01-08,Ponorogo,15.10965276215356
2018-01-08,Probolinggo,2.7104549485048977
2018-01-08,Sampang,3.1140859408716604
2018-01-08,Sidoarjo,17.033154288741827
2018-01-08,Situbondo,2.9231601057259415
2018-01-08,Sumenep,0.683102500456423
2018-01-08,Trenggalek,21.079737716444935
2018-01-08,Tuban,9.340124803863674
2018-01-08,Tulungagung,23.472923464445973
2018-01-08,Kota Jember,29.854343421749956
2018-01-09,Kota Batu,10.41814964262815
2018-01-09,Malang,11.644989562545446
2018-01-09,Bangkalan,3.163486217220483
2018-01-09,Banyuwangi,11.769661368563483
2018-01-09,Blitar,16.303861486787792
2018-01-09,Bojonegoro,2.9214035879999867
2018-01-09,Bondowoso,9.94282384645439
2018-01-09,Gresik,1.937082738086915
2018-01-09,Jember,11.70042853318193
2018-01-09,Jombang,6.249647489214298
2018-01-09,Kediri,11.167424958146366
2018-01-09,Kota Blitar,23.327000980488737
2018-01-09,Kota Kediri,9.417446054024381
2018-01-09,Kota Madiun,5.700646007128354
2018-01-09,Kota Malang,11.551237881856832
2018-01-09,Kota Mojokerto,0.0
2018-01-09,Kota Pasuruan,0.0
2018-01-09,Kota Probolinggo,0.0
2018-01-09,Kota Surabaya,7.149137948089433
2018-01-09,Lamongan,0.08710999720038717
2018-01-09,Lumajang,8.793201007553172
2018-01-09,Madiun,8.491235602483417
2018-01-09,Magetan,6.771952854177354
2018-01-09,Mojokerto,6.678198929124091
2018-01-09,Nganjuk,8.949609149306612
2018-01-09,Ngawi,5.766580249305435
2018-01-09,Pacitan,10.562154653793243
2018-01-09,Pamekasan,0.415372559317836
2018-01-09,Pasuruan,5.807902141273323
2018-01-09,Ponorogo,14.36912571214332
2018-01-09,Probolinggo,0.08186372261504433
2018-01-09,Sampang,4.744704230403633
2018-01-09,Sidoarjo,4.901555999743507
2018-01-09,Situbondo,4.516152530096389
2018-01-09,Sumenep,1.429210810613491
2018-01-09,Trenggalek,14.85406889238947
2018-01-09,Tuban,0.1358807367050374
2018-01-09,Tulungagung,15.775457615241372
2018-01-09,Kota Jember,13.687107332741341
2018-01-10,Kota Batu,41.45625440206021
2018-01-10,Malang,41.270103395204686
2018-01-10,Bangkalan,32.44113898001002
2018-01-10,Banyuwangi,46.800204538740516
2018-01-10,Blitar,36.27382052097415
2018-01-10,Bojonegoro,21.259729870460557
2018-01-10,Bondowoso,50.797925341718106
2018-01-10,Gresik,28.476424651898668
2018-01-10,Jember,48.5709466740919
2018-01-10,Jombang,29.70335954918848
2018-01-10,Kediri,33.43859375393656
2018-01-10,Kota Blitar,32.13695243924681
2018-01-10,Kota Kediri,36.3830706131905
2018-01-10,Kota Madiun,22.802584028513415
2018-01-10,Kota Malang,32.88345421095914
2018-01-10,Kota Mojokerto,25.70410754379717
2018-01-10,Kota Pasuruan,29.984050270140642
2018-01-10,Kota Probolinggo,31.695810286145047
2018-01-10,Kota Surabaya,30.68517821140542
2018-01-10,Lamongan,31.44797695584047
2018-01-10,Lumajang,51.89198965094493
2018-01-10,Madiun,26.146868425189155
2018-01-10,Magetan,19.28239392210829
2018-01-10,Mojokerto,33.78506763569015
2018-01-10,Nganjuk,28.380347314517184
2018-01-10,Ngawi,14.531926943420508
2018-01-10,Pacitan,17.543682567031
2018-01-10,Pamekasan,44.33355907316107
2018-01-10,Pasuruan,34.72203180561762
2018-01-10,Ponorogo,25.226304472790904
2018-01-10,Probolinggo,49.94087309515586
2018-01-10,Sampang,35.29620820772279
2018-01-10,Sidoarjo,29.310361761290114
2018-01-10,Situbondo,48.39648996034851
