ADM2_NAME,tahun,bulan,total_hujan,max_hth,nilai_normal_30th,anomali_persen,sifat_hujan_30th,kat_value,kat_normal,kat_anomaly_pct,produksi_ton,luas_panen_hektar
BANGKALAN,2018,1,451.51458669489,0,334.36025552231183,135.03835436109733,AN,392.4344811965304,371.60765000259926,105.60558621098032,4739.48,785.0
BANGKALAN,2018,2,202.0275448075572,2,250.45920359620155,80.66285523021648,BN,395.8805550114736,378.6902296407141,104.52438804259168,46564.49,7716.0
BANGKALAN,2018,3,227.06238276462727,1,243.2180108072461,93.35755276141026,N,395.3806182513219,378.7222070730231,104.33432883942211,68927.85,11434.0
BANGKALAN,2018,4,97.9131944550169,3,201.6693511093528,48.55135096950089,BN,376.930370606397,368.12647621531903,102.16718020590147,27021.81,4477.0
BANGKALAN,2018,5,30.72780076838489,17,115.41785202526518,26.62309186074484,BN,313.24320687993844,342.70869010664205,91.00037070235346,12847.5,2218.0
BANGKALAN,2018,6,54.69219777026476,24,76.57138204829721,71.4264210821842,BN,259.1700456858588,310.93315461017323,82.89044665546949,27605.63,4760.0
BANGKALAN,2018,7,14.796745991725963,11,34.592777798230856,42.77409023938719,BN,203.92705266104,263.9606425354236,76.99097623660147,37426.82,6435.0
BANGKALAN,2018,8,10.553126819313952,10,11.843354218353232,89.10589538021367,N,151.47076868557656,212.62353306759448,71.25968159550258,10502.98,1811.0
BANGKALAN,2018,9,6.358714014185335,19,13.651692709087982,46.57820938170045,BN,132.6536755579959,183.16718196506284,72.43924680462105,7624.38,1249.0
BANGKALAN,2018,10,10.441120152596474,20,63.72880492657215,16.38367479921623,BN,128.0920337053306,183.90999298675885,69.58951885573032,450.79,74.0
BANGKALAN,2018,11,147.1569070024468,7,124.32401411956558,118.36563357817762,AN,193.8492344033129,228.1387324460105,84.47279137756313,0,0.0
BANGKALAN,2018,12,280.05105793445705,1,271.8150767113279,103.02999426035366,N,363.68061202016617,321.1969927073432,112.32003041295036,0,0.0
BANGKALAN,2019,1,463.1358274401178,2,334.36025552231183,138.51401887363755,AN,395.2281852693159,371.60765000259926,106.2113886206208,746.65,148.0
BANGKALAN,2019,2,257.1964555456882,1,250.45920359620155,102.6899598228974,N,395.22738728686426,378.6902296407141,104.27968169901987,7657.79,1521.0
BANGKALAN,2019,3,222.22138923679844,1,243.2180108072461,91.36716006320444,N,395.84499112553465,378.7222070730231,104.41039959158816,63895.8,12682.0
BANGKALAN,2019,4,219.34616095593523,5,201.6693511093528,108.76524357783916,N,384.8131130204001,368.12647621531903,104.40551870658874,49343.02,9797.0
BANGKALAN,2019,5,26.593782583345405,8,115.41785202526518,23.04130783643762,BN,334.2361570873188,342.70869010664205,97.42198083923746,5353.23,1070.0
BANGKALAN,2019,6,22.04699152485065,11,76.57138204829721,28.79273030614044,BN,256.44349432535495,310.93315461017323,82.3920728665207,13094.25,2621.0
BANGKALAN,2019,7,10.794762996219443,16,34.592777798230856,31.205250584911138,BN,195.009667806299,263.9606425354236,74.06545536264773,39003.24,7803.0
BANGKALAN,2019,8,2.8712442620104133,24,11.843354218353232,24.243505759212592,BN,148.29894201474497,212.62353306759448,70.03753384272343,15146.86,3035.0
BANGKALAN,2019,9,7.040884918030511,20,13.651692709087982,51.575178756722,BN,130.44351506686482,183.16718196506284,71.38720861584521,175.53,28.0
BANGKALAN,2019,10,7.757979237384295,27,63.72880492657215,12.17342651619308,BN,126.29326397565832,183.90999298675885,68.74848334913304,1202.03,192.0
BANGKALAN,2019,11,19.98521116821012,16,124.32401411956558,16.075101266429375,BN,151.77671471657408,228.1387324460105,66.63527597765224,4281.5,683.0
BANGKALAN,2019,12,149.7091607663472,2,271.8150767113279,55.07757795397817,BN,225.4129826650873,321.1969927073432,70.20948298365224,1720.1,274.0
BANGKALAN,2020,1,283.5676580257158,4,334.36025552231183,84.8090206124374,BN,350.5661981967012,371.60765000259926,94.078032231081,450.34,84.0
BANGKALAN,2020,2,285.47301198807,1,250.45920359620155,113.9798449763974,N,369.5904741758629,378.6902296407141,97.4320250682368,2437.42,454.0
BANGKALAN,2020,3,249.55816694804147,2,243.2180108072461,102.60677904557818,N,376.24203990167535,378.7222070730231,99.36185348257722,22119.61,4120.0
